Sample_event_ID,start_ISO_DateTime,lon,lat,cruise_ID,cruise_expedition,sampling_event_type,Station_name
S_E_1,2004-02-24T20:57:00Z,-157.996,22.7475,HOT156,HOT,cast,ALOHA
S_E_2,2004-04-20T21:10:00Z,-157.994,22.7578,HOT158,HOT,cast,ALOHA
S_E_3,2004-05-18T20:55:00Z,-157.971,22.7425,HOT159,HOT,cast,ALOHA
S_E_4,2004-06-15T20:57:00Z,-158.001,22.7487,HOT160,HOT,cast,ALOHA
S_E_5,2004-08-15T21:24:00Z,-158.004,22.7517,HOT162,HOT,cast,ALOHA
S_E_6,2004-09-28T21:26:00Z,-158,22.7493,HOT163,HOT,cast,ALOHA
S_E_7,2004-10-31T20:57:00Z,-157.959,22.7203,HOT164,HOT,cast,ALOHA
S_E_8,2004-11-27T20:58:00Z,-157.977,22.7527,HOT165,HOT,cast,ALOHA
S_E_9,2004-12-20T20:55:00Z,-157.983,22.7533,HOT166,HOT,cast,ALOHA
S_E_10,2003-01-17T17:59:00Z,-157.988,22.7363,HOT144,HOT,cast,ALOHA
S_E_11,2003-02-25T20:57:00Z,-158.016,22.7607,HOT145,HOT,cast,ALOHA
S_E_12,2003-03-28T21:56:00Z,-157.998,22.748,HOT146,HOT,cast,ALOHA
S_E_13,2003-04-23T20:55:00Z,-157.99,22.7565,HOT147,HOT,cast,ALOHA
S_E_14,2003-05-20T21:25:00Z,-158.003,22.7495,HOT148,HOT,cast,ALOHA
S_E_15,2003-06-19T21:00:00Z,-157.998,22.7748,HOT149,HOT,cast,ALOHA
S_E_16,2003-07-19T21:01:00Z,-157.998,22.7512,HOT150,HOT,cast,ALOHA
S_E_17,2003-08-20T21:00:00Z,-158,22.7633,HOT151,HOT,cast,ALOHA
S_E_18,2003-11-09T20:55:00Z,-157.998,22.7493,HOT153,HOT,cast,ALOHA
S_E_19,2003-12-20T21:02:00Z,-157.917,22.7348,HOT154,HOT,cast,ALOHA
S_E_20,2003-10-14T20:59:00Z,-157.979,22.7767,HOT152,HOT,cast,ALOHA
S_E_21,2004-01-21T20:59:00Z,-157.998,22.7508,HOT155,HOT,cast,ALOHA
S_E_22,2004-03-19T20:43:00Z,-157.996,22.752,HOT157,HOT,cast,ALOHA
S_E_23,2009-08-18T15:47:00Z,-157.988,22.75,HOT214,HOT,cast,ALOHA
S_E_24,2009-11-03T16:16:00Z,-158.001,22.7505,HOT216,HOT,cast,ALOHA
