sample_event ID	Archive_ID	cruise_expedition	cruise_name	Sample_name	 station	 cast	 start_ISO_DateTime	 Year	 Month	 Day	 timeutc	 lon	 lat	 depth_max	 pres_max	 Date	 HOT_summary_file_name	 parameters	 num_bottles	 section	 nav_code	 depth_hgt	 EXPOCODE	 Ship	 comments	 CTDPRS	 CTDTMP	 CTDSAL	 CTDOXY	 CHLPIG	 NUMBER	 NITRATE	 QUALT1	 inferred_depth
SE_25	SAMN02798422	HOT	HOT194	HOT194_25m	2	16	 2007-08-06T01:38:00	2007	8	6	138	-158.083	22.7798	4759	1022	80607	 cruise.summaries/hot194.sum	1	17	 PRS2	 GPS	3746	 33KB194_1	 33KB194/1	 Dual T; C sensors	26	26.3995	35.0288	203.8	0.1033	72	 nd	222192	25.8351
SE_26	SAMN02798443	HOT	HOT194	HOT194_500m	2	13	 2007-08-05T02:59:00	2007	8	5	259	-158.074	22.8027	4750	1022	80507	 cruise.summaries/hot194.sum	1	19	 PRS2	 GPS	3737	 33KB194_1	 33KB194/1	 Dual T; C sensors	504	6.8198	34.0636	99.3	0.0469	48	33.17	222112	500.225
SE_27	SAMN02798423	HOT	HOT195	HOT195_25m	2	17	 2007-09-04T22:53:00	2007	9	4	2253	-157.936	22.6805	4752	1020	90407	 cruise.summaries/hot195.sum	1	24	 PRS2	 GPS	3741	 33KB195_1	 33KB195/1	 Dual T; C sensors	26	26.5977	35.3692	204.4	0.0696	132	 nd	222192	25.8352
SE_28	SAMN02798444Ê	HOT	HOT195	HOT195_500m	2	12	 2007-09-03T21:03:00	2007	9	3	2103	-158.02	22.668	4764	1022	90307	 cruise.summaries/hot195.sum	1	21	 PRS2	 GPS	3751	 33KB195_1	 33KB195/1	 Dual T; C sensors	504	7.3963	34.0526	130.9	0.0112	36	 nd	222192	500.229
SE_29	SAMN02798424Ê	HOT	HOT196	HOT196_25m	2	1	 2007-10-02T11:32:00	2007	10	2	1132	-157.919	22.7447	4720	202	100207	 cruise.summaries/hot196.sum	 nd	21	 PRS2	 GPS	4519	 33KI196_1	 33KI196/1	 Dual T; C sensors	26	26.1021	35.0779	206.3	0.1907	84	-0.353	222112	25.8351
SE_30	SAMN02798445	HOT	HOT196	HOT196_500m	2	12	 2007-10-03T20:57:00	2007	10	3	2057	-157.993	22.7553	4715	1024	100307	 cruise.summaries/hot196.sum	1	23	 PRS2	 GPS	3700	 33KI196_1	 33KI196/1	 Dual T; C sensors	504	7.4605	34.0821	113.8	0.067	84	27.294	222112	500.226
SE_31	SAMN02798425Ê	HOT	HOT197	HOT197_25m	2	1	 2007-12-01T10:10:00	2007	12	1	1010	-158.04	22.7445	4759	202	120107	 cruise.summaries/hot197.sum	 nd	24	 PRS2	 GPS	4558	 33KB197_1	 33KB197/1	 Dual T; C sensors	26	25.042	35.0139	207.7	0.1454	60	-3.697	222112	25.8351
SE_32	SAMN02798446Ê	HOT	HOT197	HOT197_500m	2	12	 2007-12-02T20:47:00	2007	12	2	2047	-157.923	22.794	4700	1024	120207	 cruise.summaries/hot197.sum	1	23	 PRS2	 GPS	3685	 33KB197_1	 33KB197/1	 Dual T; C sensors	504	6.8209	34.1081	87.5	0.0605	48	28.255	222112	500.225
SE_33	SAMN02798426Ê	HOT	HOT198	HOT198_25m	2	1	 2007-12-20T09:06:00	2007	12	20	906	-158	22.7507	4750	202	122007	 cruise.summaries/hot198.sum	 nd	19	 PRS2	 GPS	4549	 33KB198_1	 33KB198/1	 Dual T; C sensors	26	24.4819	35.0346	208.3	0.3086	48	-3.527	222112	25.8351
SE_34	SAMN02798447Ê	HOT	HOT198	HOT198_500m	2	13	 2007-12-21T20:54:00	2007	12	21	2054	-157.987	22.7025	4750	1022	122107	 cruise.summaries/hot198.sum	1	22	 PRS2	 GPS	3737	 33KB198_1	 33KB198/1	 Dual T; C sensors	504	7.604	34.1246	109	0.0586	72	21.371	222112	500.228
