sampling_event_ID	BioSample	sample_ID	cruise	cast	depth	bottleNumber	bottleID	datetime	date	time	press	theta	sigma	temp	csal	coxy	bsal	boxy	dic	ph	alk	phos	nit	sil	doc	pc	pn	pp	lln	llp	chl	phaeo	chlplus	perid	but19	fuco	hex19	prasino	diadino	zeaxan	chlb	hplc	acar	bcar	caroten	chlda	viol	lutein	mvchla	dvchla	hbact	pbact	sbact	ebact	atp	psi	l12	DCM position
HOT_224_20100807T134000_23	SAMN05991650	HOT224-0025m	HOT224	3	25	12	2240200312	2010-08-07T14:06:33Z	80710	140633	25.3	25.435	23.369	25.4406	35.2129	208.9	35.1039	209.5	1998.3	8.075	2327	0.09	0.02	1.06	75.37	2.58	0.323	9.8	1.6	88.9	0.06	0.04	2	1	3	3	11	0	5	59	5	59	5	3	8	0	1	0	36	23	492200	162100	800	700	34.12	2.47	13.126	above DCM
HOT_224_20100807T134000_23	SAMN05991651	HOT224-0045m	HOT224	3	45	7	2240200307	2010-08-07T14:04:01Z	80710	140401	45.5	25.3373	23.399	25.3472	35.2126	209.7	35.1668	209.5	1999.5	8.074	2324	0.08	0.02	1.09	56.43	2.27	0.296	11.7	2.6	79.1	0.11	0.05	0	1	5	4	16	0	5	59	2	77	6	3	9	0	1	0	49	27	486500	172500	900	700	32.13	11.31	9.36	above DCM
HOT_224_20100807T134000_23	SAMN05991652	HOT224-0075m	HOT224	3	75	2	2240200302	2010-08-07T14:01:12Z	80710	140112	73.4	25.1562	23.448	25.1722	35.2047	209.7	35.2221	209.8	1999.717241	8.073068966	2323.37931	0.09	0.03	1.08	64.4	2.16	0.309	10.89191919	2.9	84	0.13	0.11	4	1	8	7	24	0	5	69	6	126	10	4	14	0	1	0	76	50	491500	217600	900	400	34.23218341	8.14	9.046	above DCM
HOT_224_20100808T151600_211	SAMN05991653	HOT224-0125m	HOT224	11	125	19	2240201119	2010-08-08T16:11:38Z	80810	161138	126	23.0689	24.152	23.0947	35.3144	211	35.3526	215.8	2020.552727	8.048006061	2330.928788	0.103884298	0.043595041	1.204669421	68.62663818	1.72	0.284	8.629501085	3.019727891	76.51938326	0.27	0.39	19.98484848	2.934343434	21.45959596	4	54.9040404	0	5	55.08080808	74.49494949	302.2474747	34.06565657	3.065656566	38	0	0	0	121.2979798	180.9494949	453100	127300	1200	800	23.0699446	4.212307692	1.38	above DCM
HOT_224_20100808T151600_211	SAMN05991654	HOT224-0200m	HOT224	11	200	14	2240201114	2010-08-08T16:08:15Z	80810	160815	199.7	20.0547	24.922	20.0918	35.2291	204.8	35.2322	204.9	2051.2	7.982	2322	0.15	1.25	1.93	54.76	0.64	0.104	1.9	425.2	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.005036101	7.9	NA	below DCM
HOT_224_20100808T085700_29	SAMN05991655	HOT224-0500m	HOT224	9	500	12	2240200912	2010-08-08T9:40:59Z	80810	94059	499.7	7.5539	26.64	7.6033	34.1106	100.2	34.1136	98.3	2220.3	7.49	2283	2.21	29.64	44.94	42.51615385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_224_20100808T085700_29	SAMN05991656	HOT224-0770m	HOT224	9	770	6	2240200906	2010-08-08T9:32:57Z	80810	93257	769.4	4.8238	27.161	4.8857	34.3255	35.7	34.3266	37	2307.7	7.36	2332	2.96	40.39	91.71	41.53473684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_224_20100808T085700_29	SAMN05991657	HOT224-1000m	HOT224	9	1000	1	2240200901	2010-08-08T9:26:49Z	80810	92649	1020.2	3.9178	27.37	3.9951	34.4665	46.4	34.4659	46.3	2322.732675	7.388	2378	2.98	41.06	108.86	37.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_225_20100903T135300_23	SAMN05991658	HOT225-0025m	HOT225	3	25	13	2250200313	2010-09-03T14:23:29Z	90310	142329	25.1	25.6137	23.331	25.6192	35.236	208.9	35.2357	208.5	1998.1	8.075	2324	0.08	0.04	1.14	74.74	2.31	0.326	10.1	4	85	0.07	0.07	2	1	3	2	12	0	5	66	7	77	7	4	11	1	1	0	40	38	519100	184700	900	500	31.3	12.44	12.786	above DCM
HOT_225_20100903T135300_23	SAMN05991659	HOT225-0045m	HOT225	3	45	7	2250200307	2010-09-03T14:20:13Z	90310	142013	45.4	25.5901	23.338	25.6001	35.2348	208.9	35.2211	208.1	1998	8.075	2329	0.1	0.04	1.1	71.84	2.34	0.324	6.9	3.9	85.9	0.1	0.1	0	1	5	3	17	0	4	76	4	96	10	4	13	0	0	0	51	45	528000	199700	1100	600	36.6	13.9	9.64	above DCM
